Study,Parent_Pair,Cohort,Access_ID,Sex,Diet,Diet_Start_Week,Litter_Size,Total_AUC,HarvWeight,RetroFat_norm,FastGluc,FastIns,SWIM,CLIMB,FLOAT,REST_EPISODE_COUNT_5,MOVEMENT_EPISODE_COUNT_5,VERTICAL_EPISODE_COUNT_5,z
Thesis,338,1T,734525,F,HFD,SIX,8,9.521018496722224,5.480638923341991,0.6080358613167814,4.3694478524670215,NA,2809,1.791759469228055,1.4142135623730951,1.791759469228055,1.9459101490553132,36,1
Thesis,343,1T,734575,F,HFD,SIX,9,9.51384657977485,5.43372200355424,1.013194537545605,4.48863636973214,NA,1521,0,4.58257569495584,1.9459101490553132,2.0794415416798357,25,1
Thesis,343,1T,734576,F,HFD,SIX,9,9.164139353075468,5.6240175061873385,1.4992347723975734,4.330733340286331,NA,529,1.3862943611198906,5.830951894845301,2.1972245773362196,2.302585092994046,26,1
Thesis,448,1T,734634,F,HFD,SIX,12,9.540075680658964,5.713732805509369,1.4914893000956546,4.343805421853684,NA,1089,0.6931471805599453,5.0990195135927845,2.6390573296152584,2.70805020110221,26,1
Thesis,338,1T,734526,F,HFD,SIX,8,9.45100945015621,5.3981627015177525,0.6466271648774334,4.394449154672439,NA,2601,2.1972245773362196,1,2.6390573296152584,2.70805020110221,33,1
Thesis,405,1T,734585,F,HFD,SIX,13,9.459814218536422,5.308267697401205,0.7857399675034165,4.30406509320417,NA,1600,2.1972245773362196,3.4641016151377544,1.9459101490553132,2.0794415416798357,35,1
Thesis,408,2T,734673,F,HFD,SIX,13,9.445096238618559,5.5134287461649825,0.8309709672285226,4.290459441148391,NA,1764,1.791759469228055,3.605551275463989,2.302585092994046,2.3978952727983707,25,1
Thesis,335,2T,734762,F,HFD,SIX,7,9.392745258631441,5.616771097666572,0.9577548559291053,4.465908118654584,NA,2601,0,3,2.4849066497880004,2.5649493574615367,21,1
Thesis,447,2T,734733,F,HFD,SIX,15,9.375727683729428,5.231108616854587,0.6768866594422633,4.219507705176107,NA,2209,1.3862943611198906,3.1622776601683795,1.9459101490553132,2.0794415416798357,28,1
Thesis,401,2T,734783,F,HFD,SIX,11,9.280425979542871,5.37989735354046,0.6554068526155599,4.31748811353631,0.4679743582719036,1024,2.4849066497880004,4.123105625617661,2.6390573296152584,2.70805020110221,20,1
Thesis,431,3T,736259,F,HFD,SIX,13,9.348666501456469,5.44673737166631,1.3386399154529784,4.30406509320417,NA,1225,0.6931471805599453,4.898979485566356,1.9459101490553132,2.0794415416798357,25,1
Thesis,465,3T,7362310,F,HFD,SIX,10,9.747330695012781,5.497168225293202,1.0764199772097924,4.2626798770413155,NA,1936,0,4,2.6390573296152584,2.70805020110221,29,1
Thesis,421,3T,736297,F,HFD,SIX,8,9.295003159854891,5.493061443340548,0.5794878621198314,4.248495242049359,NA,2809,1.0986122886681098,2.23606797749979,2.302585092994046,2.3978952727983707,31,1
Thesis,443,3T,736339,F,HFD,SIX,11,9.408248163222131,5.337538079701318,0.545016988421833,4.356708826689592,NA,1936,1.0986122886681098,3.4641016151377544,2.0794415416798357,2.1972245773362196,23,1
Thesis,442,3T,736289,F,HFD,SIX,10,9.303921785597714,5.407171771460119,0.3403258056487414,4.23410650459726,NA,3249,1.0986122886681098,1,1.6094379124341003,1.791759469228055,29,1
Thesis,416,3T,736319,F,HFD,SIX,11,9.207185400282881,5.365976015021851,0.9895935509791365,4.0943445622221,0.2,2601,0,3,2.0794415416798357,2.1972245773362196,33,1
Thesis,463,4T,736393,F,HFD,SIX,11,9.408248163222131,5.5909869805108565,1.32748223444443,4.3694478524670215,0.9074690077352504,784,1.791759469228055,5.196152422706632,3.58351893845611,3.6109179126442243,34,1
Thesis,402,4T,736423,F,HFD,SIX,5,9.442126468671734,5.4510384535657,1.227824020016803,4.3694478524670215,0.7324616030891995,1444,0,4.69041575982343,3.4011973816621555,3.4339872044851463,39,1
Thesis,438,4T,736543,F,HFD,SIX,11,9.571400686107442,5.5053315359323625,0.8531118304613191,4.394449154672439,NA,729,1.9459101490553132,5.196152422706632,2.995732273553991,3.044522437723423,38,1
Thesis,419,4T,736533,F,HFD,SIX,11,9.421087402953841,5.501258210544727,0.7643234592110464,4.382026634673881,NA,2500,1.3862943611198906,2.6457513110645907,3.7612001156935624,3.7612001156935624,35,1
Thesis,450,4T,737073,F,HFD,SIX,9,9.62681135926088,5.521460917862246,0.9579798203118015,4.454347296253507,0.618869937870632,1764,1.6094379124341003,3,3.6375861597263857,3.6375861597263857,26,1
Thesis,454,4T,736443,F,HFD,SIX,14,9.611362290386973,5.594711379601839,1.0911216168387015,4.406719247264253,NA,1369,1.3862943611198906,4.358898943540674,3.6109179126442243,3.6375861597263857,45,1
Thesis,555,5T,738373,F,HFD,SIX,12,9.580247384683632,5.497168225293202,0.9574089789552865,4.430816798843313,NA,1296,0,4.898979485566356,2.302585092994046,2.3978952727983707,25,1
Thesis,433,5T,738333,F,HFD,SIX,9,9.64445772265751,5.541263545158426,0.930364459138612,4.23410650459726,NA,2401,2.3978952727983707,1,2.1972245773362196,2.302585092994046,27,1
Thesis,449,5T,738493,F,HFD,SIX,10,9.381432446818588,5.356586274672012,1.0632388256415188,4.110873864173311,0.687749954561976,1764,0,4.242640687119285,2.0794415416798357,2.1972245773362196,28,1
Thesis,428,5T,738573,F,HFD,SIX,8,9.273409063443166,5.493061443340548,1.5603171152015807,4.204692619390966,0.7576278769950324,2500,1.3862943611198906,2.6457513110645907,1.6094379124341003,1.791759469228055,27,1
Thesis,441,5T,738293,F,HFD,SIX,11,9.59516049810706,5.602118820879701,1.047968555901303,4.31748811353631,NA,1764,1.6094379124341003,3.3166247903554,2.1972245773362196,2.302585092994046,29,1
Thesis,461,5T,738503,F,HFD,SIX,11,9.548668029096856,5.5909869805108565,1.0288165267365839,4.30406509320417,NA,2025,0.6931471805599453,3.7416573867739413,1.0986122886681098,1.3862943611198906,23,1
Thesis,412,6T,738543,F,HFD,SIX,7,9.598218396657296,5.472270673671475,0.8545050985946663,4.3694478524670215,0.8772114910328067,169,0,6.855654600401044,2.0794415416798357,2.1972245773362196,31,1
Thesis,414,6T,738603,F,HFD,SIX,6,9.53575166123797,5.484796933490655,1.0560526742493137,4.418840607796598,0.7172865536171719,1444,0,4.69041575982343,2.3978952727983707,2.4849066497880004,22,1
Thesis,425,6T,738683,F,HFD,SIX,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Thesis,430,6T,738693,F,HFD,SIX,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Thesis,455,6T,738593,F,HFD,SIX,13,9.386476169683052,5.337538079701318,0.5726430548436972,4.356708826689592,NA,784,0,5.656854249492381,1.791759469228055,1.9459101490553132,20,1
Thesis,436,6T,738711,F,HFD,SIX,3,9.476620038167528,5.6937321388027,1.37097491253835,4.31748811353631,0.9394147114027968,196,0.6931471805599453,6.708203932499369,1.791759469228055,1.9459101490553132,29,1
Thesis,548,7T,740865,F,HFD,SIX,9,9.318835968129482,5.424950017481403,0.9002332949171454,4.31748811353631,0.677495387438173,2304,2.1972245773362196,2,1.6094379124341003,1.791759469228055,28,1
Thesis,515,7T,740985,F,HFD,SIX,12,9.33485624667375,5.332718793265369,0.974742806995617,4.356708826689592,0.6928203230275509,144,0,6.928203230275509,2.5649493574615367,2.6390573296152584,29,1
Thesis,546,7T,740785,F,HFD,SIX,14,9.50383054471094,5.44673737166631,0.7334495594633855,4.2626798770413155,NA,3249,0.6931471805599453,1.4142135623730951,1.9459101490553132,2.0794415416798357,35,1
Thesis,537,7T,740797,F,HFD,SIX,9,9.547598014371232,5.389071729816501,0.4085185456194449,4.394449154672439,NA,2304,2.1972245773362196,2,1.9459101490553132,2.0794415416798357,27,1
Thesis,559,7T,740955,F,HFD,SIX,9,9.55400099583723,5.37989735354046,0.9088557531926073,4.2626798770413155,NA,2209,1.0986122886681098,3.3166247903554,2.302585092994046,2.3978952727983707,28,1
Thesis,507,7T,740925,F,HFD,SIX,12,9.37699822430353,5.3471075307174685,0.8082685165902103,4.276666119016055,NA,2401,1.6094379124341003,2.6457513110645907,1.6094379124341003,1.791759469228055,39,1
Thesis,508,8T,740903,F,HFD,SIX,7,9.557717222308781,5.342334251964811,0.5705448583371782,4.343805421853684,NA,2116,2.0794415416798357,2.6457513110645907,2.3978952727983707,2.4849066497880004,28,1
Thesis,504,8T,740893,F,HFD,SIX,13,9.733647773244229,5.442417710521793,0.7963314166383133,4.290459441148391,NA,2304,0.6931471805599453,3.1622776601683795,1.9459101490553132,2.0794415416798357,32,1
Thesis,516,8T,740913,F,HFD,SIX,11,9.52704712346858,5.5053315359323625,0.9679921061657742,4.31748811353631,NA,1936,1.0986122886681098,3.7416573867739413,1.791759469228055,1.9459101490553132,27,1
Thesis,506,8T,740882,F,HFD,SIX,5,9.648337205086833,5.552959584921617,0.9977093259356054,4.290459441148391,0.6511528238439882,1444,2.0794415416798357,3.872983346207417,1.9459101490553132,2.0794415416798357,29,1
Thesis,539,8T,741003,F,HFD,SIX,12,9.751268339558617,5.424950017481403,0.8635991618283668,4.356708826689592,0.5722761571129799,1600,1.0986122886681098,4.242640687119285,0,0.6931471805599453,32,1
Thesis,530,8T,740873,F,HFD,SIX,7,9.452187908084165,5.579729825986222,1.6782287432988865,4.406719247264253,0.7067531393633848,484,2.3978952727983707,5.291502622129181,1.9459101490553132,2.0794415416798357,26,1
Thesis,520,9T,743624,F,HFD,FOUR,11,9.620361751165559,5.598421958998375,1.0632996663831582,4.418840607796598,0.9404786015641184,2116,1.9459101490553132,2.23606797749979,1.3862943611198906,1.6094379124341003,31,1
Thesis,561,9T,743634,F,HFD,FOUR,11,9.382064305134858,5.170483995038151,0.45198512347033,4.442651256490317,0.8517628778010932,1369,1.791759469228055,4.242640687119285,2.3978952727983707,2.4849066497880004,28,1
Thesis,545,9T,743593,F,HFD,FOUR,8,9.705707120679628,5.424950017481403,1.0027119643294156,4.48863636973214,NA,576,1.6094379124341003,5.656854249492381,1.6094379124341003,1.791759469228055,20,1
Thesis,518,9T,743743,F,HFD,FOUR,10,9.450419699996594,5.472270673671475,0.7604508623022059,4.382026634673881,NA,25,0,7.416198487095663,1.3862943611198906,1.6094379124341003,27,1
Thesis,523,9T,743614,F,HFD,FOUR,9,9.523763287920113,5.407171771460119,0.9637930660034884,4.2626798770413155,NA,484,0.6931471805599453,6.082762530298219,2.0794415416798357,2.1972245773362196,35,1
Thesis,606,9T,743683,F,HFD,FOUR,10,9.746453553268923,5.181783550292085,0.5175824064106886,4.394449154672439,NA,625,1.0986122886681098,5.744562646538029,1.3862943611198906,1.6094379124341003,26,1
Thesis,528,10T,743943,F,HFD,FOUR,7,9.402075812130713,5.472270673671475,1.416426510859545,4.48863636973214,0.9118662182579197,144,0,6.928203230275509,2.1972245773362196,2.1972245773362196,29,1
Thesis,553,10T,743953,F,HFD,FOUR,9,9.408248163222131,5.389071729816501,0.9217802242027222,4.219507705176107,NA,324,0,6.48074069840786,2.0794415416798357,2.1972245773362196,24,1
Thesis,538,10T,743923,F,HFD,FOUR,9,9.621356710122672,5.616771097666572,1.076471162673981,4.343805421853684,0.7707139547199077,36,0,7.3484692283495345,2.0794415416798357,2.1972245773362196,29,1
Thesis,560,10T,744023,F,HFD,FOUR,10,9.55824698622306,5.666426688112432,1.4822356549116984,4.454347296253507,1.0644247272588137,576,1.3862943611198906,5.744562646538029,2.0794415416798357,2.1972245773362196,28,1
Thesis,543,10T,743933,F,HFD,FOUR,12,9.322194756750324,5.424950017481403,0.8447662133285418,4.430816798843313,NA,961,1.791759469228055,4.898979485566356,1.791759469228055,1.9459101490553132,30,1
Thesis,535,10T,744011,F,HFD,FOUR,12,9.545990842468653,5.53338948872752,1.2971161361189232,4.23410650459726,0.6946221994724903,1225,1.6094379124341003,4.58257569495584,1.9459101490553132,2.0794415416798357,34,1
Thesis,635,11T,745543,F,HFD,FOUR,12,9.605822482030945,5.407171771460119,NA,4.442651256490317,0.9364827814754524,361,1.0986122886681098,6.244997998398398,2.8903717578961645,2.9444389791664403,17,1
Thesis,634,11T,745563,F,HFD,FOUR,13,9.366146823114383,5.318119993844216,NA,4.31748811353631,NA,324,1.0986122886681098,6.324555320336759,2.302585092994046,2.3978952727983707,26,1
Thesis,665,11T,745553,F,HFD,FOUR,9,9.682123666677505,5.420534999272286,NA,4.31748811353631,NA,225,0.6931471805599453,6.6332495807108,2.70805020110221,2.70805020110221,19,1
Thesis,641,11T,745573,F,HFD,FOUR,10,9.72157591171514,5.6240175061873385,NA,4.477336814478207,NA,2304,2.4849066497880004,1,2.1972245773362196,2.302585092994046,23,1
Thesis,630,11T,745533,F,HFD,FOUR,13,9.496533837001504,5.501258210544727,NA,4.406719247264253,NA,2601,2.1972245773362196,1,1.6094379124341003,1.791759469228055,40,1
Thesis,721,11T,745615,F,HFD,FOUR,10,9.506065016071148,5.5053315359323625,NA,4.276666119016055,NA,2209,2.3978952727983707,1.7320508075688772,2.5649493574615367,2.6390573296152584,27,1
Thesis,654,12T,745893,F,HFD,FOUR,12,9.741174484200432,5.537334267018537,NA,4.382026634673881,0.6336402764976355,1089,0,5.196152422706632,1.3862943611198906,1.6094379124341003,23,1
Thesis,621,12T,745903,F,HFD,FOUR,11,9.393370011353818,5.53338948872752,NA,4.31748811353631,0.7937253933193772,3136,1.3862943611198906,1,2.70805020110221,2.772588722239781,23,1
Thesis,625,12T,745883,F,HFD,FOUR,12,9.524311343250883,5.541263545158426,NA,4.564348191467836,0.9113177272499422,3364,0,1.4142135623730951,2.6390573296152584,2.70805020110221,24,1
Thesis,624,12T,746013,F,HFD,FOUR,8,9.397732385583243,5.3612921657094255,NA,4.276666119016055,NA,3136,1.3862943611198906,1,2.995732273553991,3.044522437723423,8,1
Thesis,614,12T,746003,F,HFD,FOUR,9,9.339480888799274,5.272999558563747,NA,4.330733340286331,0.6557438524302001,3025,1.6094379124341003,1,1.791759469228055,1.9459101490553132,33,1
Thesis,638,12T,746023,F,HFD,FOUR,14,9.617370920809053,5.537334267018537,NA,4.343805421853684,NA,2025,1.6094379124341003,3.3166247903554,1.6094379124341003,1.791759469228055,38,1
Thesis,605,13T,749093,F,HFD,SIX,8,9.448648359810164,5.318119993844216,1.1213405396670142,4.290459441148391,0.6445928947793328,2025,2.3978952727983707,2.23606797749979,2.302585092994046,2.3978952727983707,20,1
Thesis,737,13T,749251,F,HFD,SIX,14,9.421087402953841,5.488937726156687,0.691070336411364,4.442651256490317,0.7123903424387503,2401,1.9459101490553132,2.23606797749979,2.4849066497880004,2.5649493574615367,31,1
Thesis,612,13T,749213,F,HFD,SIX,7,9.428350771178645,5.351858133476067,0.716677678156186,4.30406509320417,NA,2116,1.0986122886681098,3.4641016151377544,1.3862943611198906,1.6094379124341003,31,1
Thesis,656,13T,749163,F,HFD,SIX,8,9.561419689557756,5.472270673671475,0.9728863994020956,4.30406509320417,1.0660675400742676,1296,1.791759469228055,4.358898943540674,3.1354942159291497,3.1354942159291497,28,1
Thesis,702,13T,749143,F,HFD,SIX,12,9.470278619118869,5.429345628954441,0.5334746755612991,4.31748811353631,0.6507687761409577,1369,0.6931471805599453,4.69041575982343,2.5649493574615367,2.6390573296152584,36,1
Thesis,618,13T,749171,F,HFD,SIX,8,9.506622854647134,5.5254529391317835,0.6729444732424258,4.343805421853684,NA,3025,1.3862943611198906,1,2.4849066497880004,2.5649493574615367,18,1
Thesis,643,14T,749423,F,HFD,SIX,8,NA,5.44673737166631,0.389464766632691,NA,NA,2500,0,3.1622776601683795,2.5649493574615367,2.6390573296152584,25,1
Thesis,662,14T,749473,F,HFD,SIX,9,NA,5.375278407684165,0.6576404920307464,NA,NA,3025,0,2.23606797749979,2.8903717578961645,2.8903717578961645,19,1
Thesis,613,14T,749513,F,HFD,SIX,12,NA,5.529429087511423,1.0825476861440602,NA,0.7486654793697917,841,0,5.5677643628300215,2.8903717578961645,2.9444389791664403,20,1
Thesis,616,14T,749503,F,HFD,SIX,10,NA,5.659482215759621,1.2774312147958526,NA,0.6367888189973188,1089,0,5.196152422706632,1.6094379124341003,1.791759469228055,30,1
Thesis,661,14T,749405,F,HFD,SIX,12,NA,5.3471075307174685,0.5127376700399084,NA,0.7962411694957753,1521,0.6931471805599453,4.47213595499958,1.6094379124341003,1.791759469228055,35,1
Thesis,607,14T,749483,F,HFD,SIX,11,NA,5.4680601411351315,1.0069676989055987,NA,0.5431390245600107,1849,1.3862943611198906,3.7416573867739413,2.1972245773362196,2.302585092994046,36,1
Thesis,707,15T,751792,F,HFD,SIX,10,NA,NA,NA,NA,NA,NA,NA,NA,2.0794415416798357,2.1972245773362196,24,1
Thesis,701,15T,751785,F,HFD,SIX,5,NA,NA,NA,NA,NA,NA,NA,NA,2.1972245773362196,2.302585092994046,26,1
Thesis,710,15T,751943,F,HFD,SIX,13,NA,NA,NA,NA,NA,NA,NA,NA,2.5649493574615367,2.6390573296152584,23,1
Thesis,0751B,15T,751953,F,HFD,SIX,5,NA,NA,NA,NA,NA,NA,NA,NA,2.0794415416798357,2.1972245773362196,29,1
Thesis,741,15T,751774,F,HFD,SIX,7,NA,NA,NA,NA,NA,NA,NA,NA,1.6094379124341003,1.791759469228055,29,1
Thesis,730,15T,751933,F,HFD,SIX,10,NA,NA,NA,NA,NA,NA,NA,NA,2.3978952727983707,2.4849066497880004,28,1
Thesis,717,16T,752123,F,HFD,SIX,11,NA,NA,NA,NA,NA,NA,NA,NA,2.4849066497880004,2.5649493574615367,33,1
Thesis,732,16T,752143,F,HFD,SIX,6,NA,NA,NA,NA,NA,NA,NA,NA,2.772588722239781,2.833213344056216,21,1
Thesis,761,16T,752163,F,HFD,SIX,10,NA,NA,NA,NA,NA,NA,NA,NA,2.0794415416798357,2.1972245773362196,27,1
Thesis,764,16T,752433,F,HFD,SIX,10,NA,NA,NA,NA,NA,NA,NA,NA,2.1972245773362196,2.302585092994046,32,1
Thesis,756,16T,752133,F,HFD,SIX,10,NA,NA,NA,NA,NA,NA,NA,NA,2.5649493574615367,2.6390573296152584,33,1
Thesis,704,16T,752343,F,HFD,SIX,12,NA,NA,NA,NA,NA,NA,NA,NA,1.9459101490553132,2.0794415416798357,25,1
