Study,Parent Pair,Cohort,Access ID,Sex,Diet,Diet Start Week,Litter Size,HarvWeight,RetroFat_norm,EpiFat_norm,OmentalFat_norm,Total AUC,FastGluc,FastIns,REST EPISODE COUNT_5,MOVEMENT EPISODE COUNT_5,VERTICAL EPISODE COUNT_5,SWIM,CLIMB,FLOAT
Thesis,338,1T,734525,F,HFD,SIX,8,239,0.836820084,0.920502092,0.50209205,13642.5,78,,5,6,36,53,5,2
Thesis,343,1T,734575,F,HFD,SIX,9,228,1.754385965,1.754385965,0.789473684,13545,88,,6,7,25,39,0,21
Thesis,343,1T,734576,F,HFD,SIX,9,276,3.47826087,2.246376812,1.52173913,9547.5,75,,8,9,26,23,3,34
Thesis,448,1T,734634,F,HFD,SIX,12,302,3.443708609,1.78807947,1.523178808,13905,76,,13,14,26,33,1,26
Thesis,338,1T,734526,F,HFD,SIX,8,220,0.909090909,0.818181818,0.454545455,12720,80,,13,14,33,51,8,1
Thesis,405,1T,734585,F,HFD,SIX,13,201,1.194029851,1.194029851,0.597014925,12832.5,73,,6,7,35,40,8,12
Thesis,408,2T,734673,F,HFD,SIX,13,247,1.295546559,0.728744939,0.48582996,12645,72,,9,10,25,42,5,13
Thesis,335,2T,734762,F,HFD,SIX,7,274,1.605839416,1.313868613,0.583941606,12000,86,,11,12,21,51,0,9
Thesis,447,2T,734733,F,HFD,SIX,15,186,0.967741935,0.860215054,0.430107527,11797.5,67,,6,7,28,47,3,10
Thesis,401,2T,734783,F,HFD,SIX,11,216,0.925925926,0.833333333,0.462962963,10725,74,0.219,13,14,20,32,11,17
Thesis,431,3T,736259,F,HFD,SIX,13,231,2.813852814,2.770562771,1.385281385,11482.5,73,,6,7,25,35,1,24
Thesis,465,3T,7362310,F,HFD,SIX,10,243,1.934156379,2.427983539,1.234567901,17107.5,70,,13,14,29,44,0,16
Thesis,421,3T,736297,F,HFD,SIX,8,242,0.785123967,1.363636364,0.454545455,10882.5,69,,9,10,31,53,2,5
Thesis,443,3T,736339,F,HFD,SIX,11,207,0.724637681,1.400966184,0.434782609,12187.5,77,,7,8,23,44,2,12
Thesis,442,3T,736289,F,HFD,SIX,10,222,0.405405405,0.765765766,0.27027027,10980,68,,4,5,29,57,2,1
Thesis,416,3T,736319,F,HFD,SIX,11,213,1.690140845,3.051643192,0.892018779,9967.5,59,0.04,7,8,33,51,0,9
Thesis,463,4T,736393,F,HFD,SIX,11,267,2.771535581,3.782771536,1.348314607,12187.5,78,0.8235,35,36,34,28,5,27
Thesis,402,4T,736423,F,HFD,SIX,5,232,2.413793103,4.396551724,1.594827586,12607.5,78,0.5365,29,30,39,38,0,22
Thesis,438,4T,736543,F,HFD,SIX,11,245,1.346938776,2.448979592,1.183673469,14347.5,80,,19,20,38,27,6,27
Thesis,419,4T,736533,F,HFD,SIX,11,244,1.147540984,1.803278689,0.901639344,12345,79,,42,42,35,50,3,7
Thesis,450,4T,737073,F,HFD,SIX,9,249,1.606425703,2.730923695,1.004016064,15165,85,0.383,37,37,26,42,4,9
Thesis,454,4T,736443,F,HFD,SIX,14,268,1.97761194,3.358208955,1.343283582,14932.5,81,,36,37,45,37,3,19
Thesis,555,5T,738373,F,HFD,SIX,12,243,1.604938272,2.551440329,3.04526749,14475,83,,9,10,25,36,0,24
Thesis,433,5T,738333,F,HFD,SIX,9,254,1.535433071,2.362204724,1.062992126,15435,68,,8,9,27,49,10,1
Thesis,449,5T,738493,F,HFD,SIX,10,211,1.895734597,3.696682464,1.232227488,11865,60,0.473,7,8,28,42,0,18
Thesis,428,5T,738573,F,HFD,SIX,8,242,3.760330579,3.016528926,0.991735537,10650,66,0.574,4,5,27,50,3,7
Thesis,441,5T,738293,F,HFD,SIX,11,270,1.851851852,2.703703704,1.555555556,14692.5,74,,8,9,29,42,4,11
Thesis,461,5T,738503,F,HFD,SIX,11,267,1.797752809,2.996254682,1.423220974,14025,73,,2,3,23,45,1,14
Thesis,412,6T,738543,F,HFD,SIX,7,237,1.35021097,3.037974684,1.139240506,14737.5,78,0.7695,7,8,31,13,0,47
Thesis,414,6T,738603,F,HFD,SIX,6,240,1.875,3,1.416666667,13845,82,0.5145,10,11,22,38,0,22
Thesis,425,6T,738683,F,HFD,SIX,13,,,,,,,,,,,,,
Thesis,430,6T,738693,F,HFD,SIX,11,,,,,,,,,,,,,
Thesis,455,6T,738593,F,HFD,SIX,13,207,0.77294686,1.207729469,0.579710145,11925,77,,5,6,20,28,0,32
Thesis,436,6T,738711,F,HFD,SIX,3,296,2.939189189,3.209459459,1.486486486,13050,74,0.8825,5,6,29,14,1,45
Thesis,548,7T,740865,F,HFD,SIX,9,226,1.460176991,2.256637168,1.10619469,11145,74,0.459,4,5,28,48,8,4
Thesis,515,7T,740985,F,HFD,SIX,12,206,1.650485437,2.669902913,0.72815534,11325,77,0.48,12,13,29,12,0,48
Thesis,546,7T,740785,F,HFD,SIX,14,231,1.082251082,1.688311688,0.649350649,13410,70,,6,7,35,57,1,2
Thesis,537,7T,740797,F,HFD,SIX,9,218,0.504587156,1.009174312,0.458715596,14010,80,,6,7,27,48,8,4
Thesis,559,7T,740955,F,HFD,SIX,9,216,1.481481481,3.703703704,0.972222222,14100,70,,9,10,28,47,2,11
Thesis,507,7T,740925,F,HFD,SIX,12,209,1.244019139,2.918660287,0.669856459,11812.5,71,,4,5,39,49,4,7
Thesis,508,8T,740903,F,HFD,SIX,7,208,0.769230769,1.25,0.528846154,14152.5,76,,10,11,28,46,7,7
Thesis,504,8T,740893,F,HFD,SIX,13,230,1.217391304,2.304347826,0.565217391,16875,72,,6,7,32,48,1,10
Thesis,516,8T,740913,F,HFD,SIX,11,245,1.632653061,3.551020408,0.734693878,13725,74,,5,6,27,44,2,14
Thesis,506,8T,740882,F,HFD,SIX,5,257,1.712062257,3.774319066,1.478599222,15495,72,0.424,6,7,29,38,7,15
Thesis,539,8T,741003,F,HFD,SIX,12,226,1.371681416,2.654867257,1.061946903,17175,77,0.3275,0,1,32,40,2,18
Thesis,530,8T,740873,F,HFD,SIX,7,264,4.356060606,2.840909091,2.007575758,12735,81,0.4995,6,7,26,22,10,28
Thesis,520,9T,743624,F,HFD,FOUR,11,269,1.895910781,2.713754647,1.003717472,15067.5,82,0.8845,3,4,31,46,6,5
Thesis,561,9T,743634,F,HFD,FOUR,11,175,0.571428571,0.742857143,0.457142857,11872.5,84,0.7255,10,11,28,37,5,18
Thesis,545,9T,743593,F,HFD,FOUR,8,226,1.725663717,2.876106195,1.10619469,16410,88,,4,5,20,24,4,32
Thesis,518,9T,743743,F,HFD,FOUR,10,237,1.139240506,2.53164557,0.928270042,12712.5,79,,3,4,27,5,0,55
Thesis,523,9T,743614,F,HFD,FOUR,9,222,1.621621622,3.108108108,0.990990991,13680,70,,7,8,35,22,1,37
Thesis,606,9T,743683,F,HFD,FOUR,10,177,0.677966102,1.807909605,0.451977401,17092.5,80,,3,4,26,25,2,33
Thesis,528,10T,743943,F,HFD,FOUR,7,237,3.122362869,3.755274262,2.067510549,12112.5,88,0.8315,8,8,29,12,0,48
Thesis,553,10T,743953,F,HFD,FOUR,9,218,1.513761468,2.798165138,1.146788991,12187.5,67,,7,8,24,18,0,42
Thesis,538,10T,743923,F,HFD,FOUR,9,274,1.934306569,3.503649635,1.715328467,15082.5,76,0.594,7,8,29,6,0,54
Thesis,560,10T,744023,F,HFD,FOUR,10,288,3.402777778,4.444444444,2.361111111,14160,85,1.133,7,8,28,24,3,33
Thesis,543,10T,743933,F,HFD,FOUR,12,226,1.327433628,2.212389381,0.92920354,11182.5,83,,5,6,30,31,5,24
Thesis,535,10T,744011,F,HFD,FOUR,12,252,2.658730159,4.563492063,2.301587302,13987.5,68,0.4825,6,7,34,35,4,21
Thesis,635,11T,745543,F,HFD,FOUR,12,222,,,,14850,84,0.877,17,18,17,19,2,39
Thesis,634,11T,745563,F,HFD,FOUR,13,203,,,,11685,74,,9,10,26,18,2,40
Thesis,665,11T,745553,F,HFD,FOUR,9,225,,,,16027.5,74,,14,14,19,15,1,44
Thesis,641,11T,745573,F,HFD,FOUR,10,276,,,,16672.5,87,,8,9,23,48,11,1
Thesis,630,11T,745533,F,HFD,FOUR,13,244,,,,13312.5,81,,4,5,40,51,8,1
Thesis,721,11T,745615,F,HFD,FOUR,10,245,,,,13440,71,,12,13,27,47,10,3
Thesis,654,12T,745893,F,HFD,FOUR,12,253,,,,17002.5,79,0.4015,3,4,23,33,0,27
Thesis,621,12T,745903,F,HFD,FOUR,11,252,,,,12007.5,74,0.63,14,15,23,56,3,1
Thesis,625,12T,745883,F,HFD,FOUR,12,254,,,,13687.5,95,0.8305,13,14,24,58,0,2
Thesis,624,12T,746013,F,HFD,FOUR,8,212,,,,12060,71,,19,20,8,56,3,1
Thesis,614,12T,746003,F,HFD,FOUR,9,194,,,,11377.5,75,0.43,5,6,33,55,4,1
Thesis,638,12T,746023,F,HFD,FOUR,14,253,,,,15022.5,76,,4,5,38,45,4,11
Thesis,605,13T,749093,F,HFD,SIX,8,203,2.068965517,,0.640394089,12690,72,0.4155,9,10,20,45,10,5
Thesis,737,13T,749251,F,HFD,SIX,14,241,0.995850622,2.033195021,1.078838174,12345,84,0.5075,11,12,31,49,6,5
Thesis,612,13T,749213,F,HFD,SIX,7,210,1.047619048,1.619047619,0.857142857,12435,73,,3,4,31,46,2,12
Thesis,656,13T,749163,F,HFD,SIX,8,237,1.64556962,2.869198312,1.392405063,14205,73,1.1365,22,22,28,36,5,19
Thesis,702,13T,749143,F,HFD,SIX,12,227,0.704845815,1.497797357,0.528634361,12967.5,74,0.4235,12,13,36,37,1,22
Thesis,618,13T,749171,F,HFD,SIX,8,250,0.96,1.4,0.6,13447.5,76,,11,12,18,55,3,1
Thesis,643,14T,749423,F,HFD,SIX,8,231,0.476190476,0.909090909,0.432900433,,,,12,13,25,50,0,10
Thesis,662,14T,749473,F,HFD,SIX,9,215,0.930232558,1.627906977,0.604651163,,,,17,17,19,55,0,5
Thesis,613,14T,749513,F,HFD,SIX,12,251,1.952191235,3.187250996,1.394422311,,,0.5605,17,18,20,29,0,31
Thesis,616,14T,749503,F,HFD,SIX,10,286,2.587412587,4.265734266,1.538461538,,,0.4055,4,5,30,33,0,27
Thesis,661,14T,749405,F,HFD,SIX,12,209,0.669856459,1.196172249,0.38277512,,,0.634,4,5,35,39,1,20
Thesis,607,14T,749483,F,HFD,SIX,11,236,1.737288136,3.559322034,1.525423729,,,0.295,8,9,36,43,3,14
Thesis,707,15T,751792,F,HFD,SIX,10,,,,,,,,7,8,24,,,
Thesis,701,15T,751785,F,HFD,SIX,5,,,,,,,,8,9,26,,,
Thesis,710,15T,751943,F,HFD,SIX,13,,,,,,,,12,13,23,,,
Thesis,0751B,15T,751953,F,HFD,SIX,5,,,,,,,,7,8,29,,,
Thesis,741,15T,751774,F,HFD,SIX,7,,,,,,,,4,5,29,,,
Thesis,730,15T,751933,F,HFD,SIX,10,,,,,,,,10,11,28,,,
Thesis,717,16T,752123,F,HFD,SIX,11,,,,,,,,11,12,33,,,
Thesis,732,16T,752143,F,HFD,SIX,6,,,,,,,,15,16,21,,,
Thesis,761,16T,752163,F,HFD,SIX,10,,,,,,,,7,8,27,,,
Thesis,764,16T,752433,F,HFD,SIX,10,,,,,,,,8,9,32,,,
Thesis,756,16T,752133,F,HFD,SIX,10,,,,,,,,12,13,33,,,
Thesis,704,16T,752343,F,HFD,SIX,12,,,,,,,,6,7,25,,,
Thesis,338,1T,734527,F,LFD,SIX,8,246,1.869918699,0.487804878,0.731707317,11932.5,73,0.645,8,9,27,51,4,5
Thesis,448,1T,734636,F,LFD,SIX,12,225,0.977777778,0.533333333,0.622222222,12562.5,75,,6,7,32,50,2,8
Thesis,343,1T,734577,F,LFD,SIX,9,247,1.619433198,1.052631579,0.647773279,12682.5,86,,19,20,26,39,9,12
Thesis,405,1T,734587,F,LFD,SIX,13,238,2.18487395,1.428571429,1.176470588,12420,81,,4,5,38,24,11,25
Thesis,405,1T,734586,F,LFD,SIX,13,214,1.308411215,1.028037383,0.747663551,10515,66,,10,11,24,25,13,22
Thesis,448,1T,734635,F,LFD,SIX,12,226,2.654867257,1.150442478,1.061946903,13627.5,81,,10,11,21,40,6,14
Thesis,408,2T,734674,F,LFD,SIX,13,232,1.034482759,0.862068966,0.517241379,11317.5,71,,5,6,34,43,4,13
Thesis,447,2T,734734,F,LFD,SIX,15,190,1.368421053,1.263157895,0.736842105,10957.5,67,,4,5,31,42,3,15
Thesis,330,2T,734726,F,LFD,SIX,8,193,0.725388601,0.829015544,0.414507772,11715,70,,10,11,29,22,2,36
Thesis,401,2T,734784,F,LFD,SIX,11,249,0.963855422,0.803212851,0.481927711,11377.5,63,,6,7,35,45,3,12
Thesis,331,2T,734714,F,LFD,SIX,7,213,1.784037559,1.220657277,0.845070423,11610,69,,5,6,29,54,3,3
Thesis,335,2T,734763,F,LFD,SIX,7,217,0.829493088,0.64516129,0.552995392,11865,68,,16,17,25,56,3,1
Thesis,431,3T,7362510,F,LFD,SIX,13,232,0.818965517,2.025862069,0.732758621,11107.5,65,,9,10,29,54,1,5
Thesis,416,3T,7363110,F,LFD,SIX,11,211,1.279620853,1.848341232,0.521327014,8737.5,64,,9,10,21,49,8,3
Thesis,452,3T,736946,F,LFD,SIX,10,212,1.179245283,1.556603774,0.896226415,13777.5,71,1.02,10,11,30,31,0,29
Thesis,443,3T,7363310,F,LFD,SIX,11,219,1.00456621,1.598173516,0.639269406,14595,71,,8,8,20,43,0,15
Thesis,450,4T,737074,F,LFD,SIX,9,201,0.597014925,1.243781095,0.746268657,13620,81,,47,47,28,42,2,14
Thesis,438,4T,736544,F,LFD,SIX,11,202,0.891089109,2.277227723,0.792079208,14085,79,,45,46,27,21,6,33
Thesis,463,4T,736394,F,LFD,SIX,11,259,1.698841699,2.77992278,1.351351351,13215,89,,27,28,45,45,0,15
Thesis,454,4T,736444,F,LFD,SIX,14,217,1.382488479,3.31797235,1.105990783,10957.5,78,,43,44,38,11,2,47
Thesis,402,4T,736424,F,LFD,SIX,5,223,1.390134529,2.600896861,1.34529148,11415,76,0.368,42,43,55,54,0,6
Thesis,419,4T,736534,F,LFD,SIX,11,239,0.460251046,1.087866109,0.50209205,9705,73,,43,44,24,57,3,0
Thesis,441,5T,738294,F,LFD,SIX,11,227,0.748898678,1.40969163,0.792951542,13455,83,,4,5,28,48,7,5
Thesis,428,5T,738574,F,LFD,SIX,8,220,1.181818182,2,0.909090909,10537.5,67,0.193,7,8,29,51,8,1
Thesis,555,5T,738374,F,LFD,SIX,12,182,1.428571429,1.978021978,1.208791209,9855,67,0.2615,10,11,37,13,0,47
Thesis,461,5T,738504,F,LFD,SIX,11,247,1.174089069,1.983805668,0.728744939,12052.5,68,2.2005,5,6,33,58,0,2
Thesis,433,5T,738334,F,LFD,SIX,9,244,0.655737705,1.475409836,0.614754098,9540,58,,13,14,30,44,7,8
Thesis,449,5T,738494,F,LFD,SIX,10,213,1.361502347,2.20657277,1.03286385,12555,70,,7,8,29,48,1,11
Thesis,436,6T,738712,F,LFD,SIX,3,253,1.85770751,3.083003953,1.146245059,10440,70,0.809,6,7,33,12,0,48
Thesis,425,6T,738684,F,LFD,SIX,13,229,0.262008734,0.436681223,0.174672489,13357.5,67,0.8195,26,26,12,50,6,4
Thesis,412,6T,738544,F,LFD,SIX,7,224,0.580357143,1.5625,0.714285714,11047.5,67,,6,7,30,51,0,9
Thesis,455,6T,738594,F,LFD,SIX,13,206,1.262135922,1.40776699,0.72815534,10995,67,,10,11,24,40,2,12
Thesis,414,6T,738604,F,LFD,SIX,6,234,1.111111111,1.666666667,0.897435897,14392.5,81,0.555,11,12,23,51,4,5
Thesis,430,6T,738694,F,LFD,SIX,11,246,1.382113821,2.479674797,1.178861789,12435,78,0.5565,15,16,36,48,11,1
Thesis,559,7T,740956,F,LFD,SIX,9,206,1.893203883,3.009708738,1.359223301,12240,67,0.4835,7,8,30,20,0,40
Thesis,546,7T,740786,F,LFD,SIX,14,214,0.700934579,1.168224299,0.654205607,10665,66,,6,7,27,48,3,9
Thesis,548,7T,740866,F,LFD,SIX,9,201,1.641791045,3.333333333,1.194029851,10717.5,66,0.461,7,8,30,45,13,2
Thesis,507,7T,740926,F,LFD,SIX,12,200,0.8,1.4,0.4,9495,64,0.496,5,6,40,40,12,8
Thesis,515,7T,740986,F,LFD,SIX,12,219,0.821917808,1.278538813,0.821917808,12825,79,,8,9,30,31,2,27
Thesis,537,7T,740798,F,LFD,SIX,9,219,1.00456621,1.96347032,1.141552511,11775,77,0.285,12,13,22,31,11,18
Thesis,539,8T,741004,F,LFD,SIX,12,221,0.7239819,1.221719457,0.7239819,12757.5,82,,8,9,30,47,6,7
Thesis,516,8T,740914,F,LFD,SIX,11,234,1.324786325,2.64957265,0.854700855,12450,58,0.4985,5,6,30,48,11,1
Thesis,508,8T,740904,F,LFD,SIX,7,224,0.491071429,0.625,0.357142857,14392.5,76,,3,4,34,51,0,9
Thesis,530,8T,740874,F,LFD,SIX,7,230,0.956521739,2.130434783,0.913043478,14842.5,78,0.42,3,4,32,40,1,19
Thesis,504,8T,740894,F,LFD,SIX,13,175,0.628571429,1.142857143,0.571428571,9982.5,69,,4,5,34,34,8,18
Thesis,506,8T,740883,F,LFD,SIX,5,237,1.603375527,3.755274262,1.181434599,13815,71,,7,8,36,9,5,46
Thesis,523,9T,743615,F,LFD,FOUR,9,210,0.571428571,1.238095238,0.380952381,12142.5,73,,15,16,26,16,1,43
Thesis,545,9T,743594,F,LFD,FOUR,8,242,0.991735537,1.487603306,0.909090909,12795,83,,8,9,32,45,7,8
Thesis,520,9T,743625,F,LFD,FOUR,11,228,1.052631579,2.149122807,0.789473684,11707.5,64,,9,10,29,41,0,19
Thesis,606,9T,743684,F,LFD,FOUR,10,178,0.224719101,0.449438202,0.280898876,11850,80,,9,10,30,32,5,23
Thesis,561,9T,743635,F,LFD,FOUR,11,202,0.792079208,1.584158416,0.544554455,11415,69,0.4695,10,11,36,13,4,43
Thesis,518,9T,743744,F,LFD,FOUR,10,288,1.423611111,2.430555556,0.763888889,11647.5,71,0.4365,7,8,34,38,3,19
Thesis,538,10T,743924,F,LFD,FOUR,9,240,1.083333333,1.875,1.041666667,12337.5,76,0.5555,9,10,25,37,1,22
Thesis,535,10T,744012,F,LFD,FOUR,12,220,2.272727273,3.545454545,1.727272727,9990,69,,9,10,9,1,0,59
Thesis,528,10T,743944,F,LFD,FOUR,7,196,1.020408163,1.93877551,1.12244898,11332.5,70,,7,8,30,26,2,32
Thesis,543,10T,743934,F,LFD,FOUR,12,210,0.80952381,1.619047619,0.80952381,10822.5,64,,0,1,1,49,1,10
Thesis,553,10T,743954,F,LFD,FOUR,9,226,1.592920354,2.787610619,1.327433628,11820,75,0.59,7,8,21,35,12,13
Thesis,560,10T,744024,F,LFD,FOUR,10,191,0.418848168,0.680628272,0.418848168,13582.5,67,,5,6,6,45,5,10
Thesis,630,11T,745534,F,LFD,FOUR,13,236,,,,11992.5,69,,6,7,28,33,8,19
Thesis,665,11T,745554,F,LFD,FOUR,9,237,,,,10597.5,65,,6,7,31,38,6,16
Thesis,635,11T,745544,F,LFD,FOUR,12,223,,,,14707.5,70,,4,5,27,3,0,57
Thesis,721,11T,745616,F,LFD,FOUR,10,204,,,,10252.5,62,0.476,4,5,34,47,0,12
Thesis,634,11T,745564,F,LFD,FOUR,13,209,,,,8362.5,68,,6,7,28,35,3,22
Thesis,641,11T,745574,F,LFD,FOUR,10,261,,,,11092.5,73,0.4225,11,12,28,54,3,2
Thesis,614,12T,746004,F,LFD,FOUR,9,199,,,,9435,64,,10,11,32,39,2,19
Thesis,625,12T,745884,F,LFD,FOUR,12,214,,,,11550,77,,11,12,25,52,4,4
Thesis,654,12T,745894,F,LFD,FOUR,12,228,,,,15352.5,82,0.52,3,4,33,27,2,31
Thesis,638,12T,746024,F,LFD,FOUR,14,215,,,,11437.5,68,0.5755,4,5,33,38,0,22
Thesis,621,12T,745904,F,LFD,FOUR,11,221,,,,9082.5,64,0.549,9,10,30,30,8,22
Thesis,624,12T,746014,F,LFD,FOUR,8,223,,,,8782.5,66,0.375,3,4,35,56,4,0
Thesis,702,13T,749144,F,LFD,SIX,12,239,0.962343096,1.548117155,0.753138075,12367.5,65,,6,7,34,45,6,9
Thesis,612,13T,749214,F,LFD,SIX,7,217,0.737327189,1.566820276,0.737327189,8707.5,65,,6,7,24,58,0,2
Thesis,605,13T,749094,F,LFD,SIX,8,187,0.320855615,0.64171123,0.213903743,10560,65,0.899,3,4,23,41,0,18
Thesis,618,13T,749172,F,LFD,SIX,8,248,1.370967742,2.137096774,1.129032258,15660,82,,2,3,36,43,3,13
Thesis,737,13T,749252,F,LFD,SIX,14,230,1.043478261,1.782608696,1,10920,72,,7,8,25,38,0,22
Thesis,656,13T,749164,F,LFD,SIX,8,214,1.121495327,1.91588785,0.607476636,13815,75,0.3835,10,11,27,37,1,22
Thesis,661,14T,749406,F,LFD,SIX,12,224,0.714285714,1.383928571,0.982142857,,,,4,5,26,48,0,12
Thesis,613,14T,749514,F,LFD,SIX,12,202,0.742574257,1.386138614,0.792079208,,,,12,13,25,42,2,16
Thesis,643,14T,749424,F,LFD,SIX,8,227,0.748898678,1.497797357,0.572687225,,,,19,20,19,44,1,15
Thesis,607,14T,749484,F,LFD,SIX,11,243,0.658436214,1.275720165,0.534979424,,,,8,9,30,46,4,10
Thesis,662,14T,749474,F,LFD,SIX,9,184,0.326086957,0.489130435,0.434782609,,,,5,6,24,46,2,12
Thesis,616,14T,749504,F,LFD,SIX,10,244,1.639344262,3.073770492,0.983606557,,,0.9625,9,10,26,33,9,18
Thesis,741,15T,751775,F,LFD,SIX,7,,,,,,,,6,7,29,,,
Thesis,710,15T,751944,F,LFD,SIX,13,,,,,,,,1,2,28,,,
Thesis,707,15T,751793,F,LFD,SIX,10,,,,,,,,13,14,23,,,
Thesis,730,15T,751934,F,LFD,SIX,10,,,,,,,,11,12,32,,,
Thesis,0751B,15T,751954,F,LFD,SIX,5,,,,,,,,5,6,29,,,
Thesis,701,15T,751906,F,LFD,SIX,10,,,,,,,,5,6,34,,,
Thesis,756,16T,752134,F,LFD,SIX,10,,,,,,,,9,10,26,,,
Thesis,761,16T,752164,F,LFD,SIX,10,,,,,,,,14,15,19,,,
Thesis,717,16T,752124,F,LFD,SIX,11,,,,,,,,2,3,31,,,
Thesis,704,16T,752344,F,LFD,SIX,12,,,,,,,,5,6,39,,,
Thesis,732,16T,752144,F,LFD,SIX,6,,,,,,,,8,9,32,,,
Thesis,764,16T,752434,F,LFD,SIX,10,,,,,,,,9,10,28,,,